Be_quiet的中文？ 安靜 好吵 你好 我還好
What_are_you_doing的中文？ 你在做什麼 你在忙嗎 安靜 乖一點
請問本課程的是？ 英語 數學 國文 社會
下列單位何者最大？ 公里 公尺 公分 公釐
請問美國的首都為何？ 華盛頓特區 紐約 洛杉磯 拉斯維加斯
請問義大利的首都為何？ 羅馬 米蘭 威尼斯 佛羅倫斯
請問李白的稱號是什麼？ 詩仙 詩聖 詩佛 詩鬼
請問杜甫的稱號是什麼？ 詩聖 詩仙 詩佛 詩鬼
請問王維的稱號是什麼？ 詩佛 詩仙 詩聖 詩鬼
11×11=？ 121 100 111 99
請問下列何者非質數？ 1 2 3 5
請問加拿大的首都為何？ 渥太華 多倫多 溫哥華 蒙特婁
請問巴西的首都為何？ 巴西利亞 聖保羅 里約熱內盧 薩爾瓦多
請問澳洲的首都為何？ 坎培拉 雪梨 墨爾本 布里斯本
請問韓國的首都為何？ 首爾 釜山 光州 平壤
請問北韓的首都為何？ 平壤 安州 熙川 惠山
2022世界盃由哪個國家奪冠？ 阿根廷 法國 克羅埃西亞 摩洛哥
2018世界盃由哪個國家奪冠？ 法國 克羅埃西亞 比利時 俄羅斯
2014世界盃由哪個國家奪冠？ 德國 巴西 阿根廷 荷蘭
12×12=？ 144 155 166 177
13×13=？ 169 196 166 199
14×14=？ 196 169 256 576
15×15=？ 225 255 125 195
16×16=？ 256 196 576 265
17×17=？ 289 169 529 259
18×18=？ 324 364 399 444
請問俄羅斯的首都為何？ 莫斯科 美索不達米雅 台北 中興
請問烏克蘭的首都為何？ 基輔 哈爾科夫 賽凡堡 台北
請問法國的首都為何？ 巴黎 巴梨 倫敦 巴西
請問德國的首都為何？ 柏林 慕尼黑 漢堡 可樂
請問英國的首都為何？ 倫敦 巴黎 巴拉圭 傑尼龜
請問下列何者非民間組織？ 中興資工系學會 伊甸社會福利基金會 更生少年關懷協會 基督教芥菜種會 
請問下列何者非有機物？ 二氧化碳 甲烷 二甲醚 苯酚
請問下列何者是有機物？ 甲酸 碳酸 聚四氟乙烯 環己六酮
19×19=？ 361 371 381 391
請問心一跳後面要接？ 愛就開始煎熬 不要一直尻尻 現在快去睡覺 我甚麼都不知道
